Predicate	Abstraction
fire:arrow	propel_with:bow&firing, damage_with:target*&firing
fire:crossbow, fire:bow	propel_with:arrow*&firing, damage_with:target*&firing
fire:shot, fire:bullet, shoot:bullet	propel_with:gun&firing
give_up_on	reject_as:possibility&giving_up
proscribe	reject_as:contraband&proscribing
pull_out_of	reject_as:framework&pulling_out
put_aside	reject_as:goal&putting_aside
refuse	reject_as:possibility&refusing
refuse_to_pay	reject_as:creditor&refusing_payment, !provide_to:payment*
reject	reject_as:possibility&rejecting
relinquish	reject_as:possession&relinqishing
renege_on	reject_as:obligation&reneging
renounce	reject_as:practice&renouncing
repeal	reject_as:law&repealing
repel	reject_as:attacker&repelling
retract	reject_as:weapon&retracting, !damage_with:*victim&retracting
send_off	reject_as:competitor&sending_off
shed	reject_as:possession&shedding
shun	reject_as:possibility&shunning
split_from	reject_as:partner&splitting
work_without	reject_as:possibility&eschewing
alienate	reject_as:ally&alienating
silence	reject_as:communicant&silencing
fire_from	propel_from:projectile*&firing
vote_against	reject_as:possibility&voting_against, damage_with:vote&voting_against
condemn	reject_as:outcast&condemning
are_found_in	enter_as:resident&residing, ^seek_in:searcher&finding
are_sentenced_to	enter_as:convict&doing_time, ^propel_to:judge&sentencing
bask_in	enter_as:resident&basking, <imbue_with:calm&calming
dwell_at	enter_as:resident&dwelling
grow_up_in	enter_as:youth&growing_up, <imbue_with:experience&nurturing
live_alone_in	enter_as:singleton&living_alone
live_at	enter_as:resident&living
live_in	enter_as:resident&living
live_on	enter_as:resident&living
move_in	enter_as:occupant&moving
reside_at	enter_as:resident&residing
serve_time_in	enter_as:convict&serving_time
sleep_in	enter_as:sleeper&sleeping
sleep_on	enter_as:sleeper&sleeping
spend_time_in	enter_as:visitor&spending_time
stay_at	enter_as:guest&staying
stay_in	enter_as:resident&staying
grow_in	^enhance_with:life&growing
accommodate	provide_to:accommodation*&accommodating
live_amongst	enter_as:outsider&living_amongst
live_with	respect_as:counterpart&living_with
admire	respect_with:admiration&admiring, respect_as:role_model&admiring
compliment	respect_with:compliment&complimenting, communicate_to:compliment&complimenting
look_up_to	respect_as:towering_figure&looking_up
praise	respect_with:praise&praising, respect_as:role_model&praising
respect	respect_as:influence&respecting
revere	respect_as:divine_source&revering
stand_over	respect_as:obligation&standing_over
swear_by	respect_as:resource&swearing
thank	respect_as:benefactor&thanking
worship	respect_as:divine_source&worshipping
prioritize	respect_as:priority&prioritizing
worship_at	respect_at:god*&worshipping
worship_in	respect_at:god*&worshipping
pray_with	respect_with:god*&praying
worship_with	respect_with:god*&worshipping
enrich	enhance_with:wealth&enriching
pay:cost, pay:price, pay:rate, pay:tariff	provide_to:supplier&paying
pay:levy, pay:tax, pay:interest, pay:local_tax	provide_to:creditor&paying
pay:tithe	provide_to:church&paying, support_with:church*&paying
pay:fine, pay:penalty	provide_to:authority&paying
pay:tribute	communicate_about:role_model&paying
pay:royalty	provide_to:author&paying
pay:premium	provide_to:premium&paying
pay:rent	provide_to:landlord&paying
pay	provide_to:payment*&paying
pay_out_on	enhance_for:creditor*&paying_out
repay	enhance_with:repayment&repaying, provide_to:repayment*&repaying
repay_for	enhance_for:creditor*&repaying
reward	enhance_with:reward&rewarding, provide_to:reward*&rewarding
tip	enhance_with:tip&tipping, provide_to:tip*&tipping
agitate	imbue_with:anger&agitating, control_of:anger*&agitating
encourage	imbue_with:enthusiasm&encouraging, control_of:enthusiasm*&encouraging
enthuse	imbue_with:enthusiasm&enthusing, control_of:enthusiasm*&enthusing
escalate	imbue_with:danger&escalating, enhance_with:scale&escalating
exacerbate	imbue_with:danger&exacerbating, enhance_with:scale&exacerbating
ignite	start_with:spark&igniting, imbue_with:fire&igniting
inflame	imbue_with:fire&inflaming, enhance_with:scale&inflaming
motivate	imbue_with:motivation&motivating, control_of:motivation*&motivating
pollinate	imbue_with:pollen&pollinating, provide_to:pollen*&pollinating
rouse	imbue_with:energy&rousing, control_of:energy*&rousing
stir	imbue_with:movement&stirring, control_of:movement*&stirring
stoke	imbue_with:heat&stoking, control_of:heat*&stoking
incite_with	imbue_with:trouble*&inciting
inflame_with	imbue_with:fire*&inflaming
mobilize_with	imbue_with:force*&mobilizing
motivate_with	control_with:worker*&motivating
mystify_with	imbue_with:mystery&mystifying
rouse_with	control_with:follower*&rousing, imbue_with:energy&rousing
revitalize	imbue_with:freshness&revitalizing
aim_for	select_as:aim&aiming, seek_as:aim&aiming
apply_for	seek_with:application&applying
ask_for	seek_with:request&asking
aspire_for	select_as:aspiration&aspiring, seek_as:aspiration&aspiring
aspire_to	seek_as:aspiration&aspiring, identify_as:aspiration&aspiring
audition_for	seek_with:audition&auditioning, perform_for:audition*&auditioning
bargain_for	seek_with:negotiation&bargaining, identify_as:bargain&bargaining
beg_for	seek_with:plea&begging, seek_as:necessity&begging
browse_for	seek_with:foragebrowsing
chase	seek_with:haste&chasing, seek_as:target&chasing
chase_after	seek_with:haste&chasing, seek_as:fugitive&chasing
claim	seek_as:rightful_possession&claiming
covet	seek_as:possession&coveting
crave	seek_as:indulgence&craving
demand	seek_as:right&demanding
desire	seek_as:possession&desiring
dig_for	seek_as:buried_treasure&digging
dive_for	seek_as:treasure_trove&diving
dream_of	seek_as:dream&dreaming
elicit	seek_as:response&eliciting
file_for	seek_as:official_status&filing
fish_for	seek_as:catch&fishing
follow	seek_with:loyalty&following, respect_as:leader&following
hunger_for	seek_with:appetite&hungering, seek_as:dinner&hungering
hunt	seek_as:prey&hunting
hunt_for	seek_as:prey&hunting
invest_for	seek_as:ROI&investing
lay_a_trap_for	seek_as:prey&trapping
listen_for	seek_as:entertainment&listening
live_for	seek_as:sustenance&living
lobby_for	seek_as:political_goal&lobbying
long_for	seek_as:indulgence&longing
look_for	seek_as:goal&looking
marry_for	seek_as:true_aim&marrying
pine_for	seek_as:lost_love&pining
plead_for	seek_as:indulgence&pleading
prey_on	seek_as:prey&preying
pursue	seek_as:moving_target&pursuing
root_out	seek_as:weed&rooting, reject_as:weed&rooting
search_for	seek_as:goal&searching
seek	seek_as:goal&seeking
seek_out	seek_as:goal&seeking
shop_for	seek_as:purchase&shopping
solicit	seek_as:response&soliciting
stalk	seek_as:obsession&stalking
strive_for	seek_as:ideal&striving
sue_for	seek_as:reparation&suing
thirst_for	seek_as:beverage&thirsting
trace	seek_as:connection&tracing
track	seek_as:animal&tracking
track_down	seek_as:runaway&tracking
try_out_for	seek_as:fit&trying_out, seek_with:audition&trying_out
want	seek_as:desire&wanting
watch_for	seek_as:visual_target&watching
woo	seek_as:romantic_partner&wooing
work_toward	seek_as:work_goal&working
yearn_for	seek_as:desire&yearning
expect	seek_as:expectation&expecting
bid_in	seek_in:bargain*&bidding
browse_in	seek_in:purchase*&browsing
dig_in	seek_in:find*&digging
excavate	seek_in:find*&excavating
fish_in	seek_in:fish*&fishing
hunt_in	seek_in:prey*&hunting
search	seek_in:goal*&searching
explore	seek_in:goal*&exploring
probe	seek_in:answer*&probing
dig_with	seek_with:find*&digging
explore_using	seek_with:goal*&exploring
explore_with	seek_with:goal*&exploring
hunt_with	seek_with:prey*&hunting
investigate_with	seek_with:answer*&investigating
predict_with	seek_with:prediction*&predicting
probe_with	seek_with:answer*&probing
track_with	seek_with:prey*&tracking
argue_for	communicate_about:argument*&arguing, oppose_about:opponent*&arguing
call_for	communicate_about:call*&calling, seek_for:response*&calling
assign	select_for:recipient&assigning, select_as:assignment&assigning
choose	select_from:menu&choosing, select_as:choice&choosing
elect	select_from:ballot&electing, select_as:representative&electing
order_around	control_as:underling&ordering
order	select_as:outcome&ordering
pick	select_from:menu&picking, select_as:pick&picking
pick_up	select_as:find&picking_up
select	select_as:choice&selecting, select_from:range&selecting
sign_up	select_as:recruit&signing_up
vote_for	select_as:candidate&voting, support_with:vote&voting
establish	start_as:establishment&establishing
incite	start_as:conflagration&inciting, imbue_with:spark&inciting
initiate	start_as:process&initiating
instigate	start_as:brouhaha&instigating
introduce	start_as:presentation&introducing
launch	start_as:directed_process&launching
open	start_as:business&opening
open:gate, open:door, open:doorway, open:portal, open:gateway	identify_as:access_point&opening
open:show, open:debate	perform_for:introduction*&opening
open:parachute	propel_with:self*&opening
open:account, open:bank_account	start_as:container&opening
open:file	start_as:document&opening
open:distribution_line	produce_with:product*&opening, provide_from:product*&opening
set	start_as:reference_point&setting
set_up	start_as:framework&setting_up
sow	start_as:foundation&sowing
sow_in	start_in:crop*&sowing
start	start_as:activity&starting
start_from	propel_from:self*&starting
set_up_in	start_in:business*&starting
open_with	start_with:routine*&opening
arrest	stop_with:arrest_warrant&arresting
break_up	stop_with:intervention&breaking_up
call_off	stop_with:cancellation&calling_off
close	stop_with:closure&closing
complete	stop_with:completion&completing
conclude	stop_with:conclusion&concluding
conquer	stop_with:conquest&conquering, damage_with:conquest&conquering
crack	stop_with:ingenuity&cracking
crack:whip	damage_with:whip&whipping, control_with:*underling&cracking
crash	stop_with:collision&crashing
defeat	stop_with:superior_force&defeating
defuse	stop_with:deactivation&defusing
deplete	stop_with:overuse&depleting
depose	stop_with:removal&deposing, reject_as:leader&deposing
deter	stop_with:prevention&deterring, oppose_with:prevention&deterring
disband	stop_with:disintegration&disbanding
disperse	stop_with:dispersal&dispersing
divest	stop_with:divestiture&divesting
end	stop_with:termination&ending
extinguish	stop_with:suffocation&extinguishing
finish	stop_with:completion&finishing
give_up	stop_with:rejection&giving_up, reject_as:way_of_life&giving_up
hang_up	stop_with:retirement&retiring
inhibit	stop_with:inhibition&inhibiting, control_of:growth*&inhibiting
interrupt	stop_with:interruption&interrupting
knock_out	stop_with:punch&knocking_out
land	propel_to:landing_site&landing
overcome	stop_with:effort&overcoming
overthrow	stop_with:subversion&overthrowing, reject_as:leader&overthrowing
prevent	stop_with:prevention&preventing
put_down	stop_with:decisive_force&putting_down
rebut	stop_with:rebuttal&rebutting
revoke	stop_with:revocation&revoking
shut_down	stop_with:closure&shutting
stop	stop_with:opposition&stopping
supplant	stop_with:replacement&supplanting
thwart	stop_with:opposition&thwarting
topple	stop_with:force&toppling, reject_as:leader&toppling
withdraw	stop_with:withdrawal&withdrawing
withdraw:saving	!provide_to:account&withdrawing
withdraw:criticism, withdraw:accusation	reject_as:weapon&withdrawing, !damage_with:*victim&withdrawing
withdraw:support, withdraw:endorsement, withdraw:loyalty, withdraw:finance, withdraw:funding, withdraw:sponsorship, withdraw:help, withdraw:assistance	!support_with:candidate*&withdrawing, !provide_to:candidate&withdrawing
douse	stop_with:water&dousing
park_in	propel_into:vehicle*&parking, stop_at:vehicle*&parking
stop_at	propel_to:vehicle*&stopping, stop_at:vehicle*&stopping
immobilize_with	stop_with:victim*&immobilizing
are_challenged_by	<oppose_with:challenge&challenging
are_confused_by	<imbue_with:confusion&confusing
are_resisted_by	<oppose_with:resistance&resisting
disagree_with	oppose_with:disagreement&disagreeing, communicate_to:disageement*&disagreeing
plot_against	oppose_with:plot&plotting
push_back	oppose_with:counterforce&pushing_back
rebel_against	oppose_with:rebellion&rebelling
resist	oppose_with:resistance&resisting
rise_against	oppose_with:uprising&rising
stand_up_to	oppose_with:pluck&standing_up
struggle_against	oppose_with:struggle&struggling
struggle_with	oppose_with:struggle&struggling
turn_against	oppose_with:betrayal&turning
agitate_for	support_with:agitation&agitating
nominate	select_for:position&nominating, select_as:nominee&nominating
pose	select_as:challenge&posing, produce_as:challenge&posing
postulate	select_as:postulate&postulating, produce_as:postulate&postulating
predict	select_as:prediction&predicting, produce_as:prediction&predicting
predict_for	produce_for:prediction*&predicting
prescribe	select_as:prescription&prescribing
propose	select_as:plan_of_action&proposing, produce_as:plan_of_action&proposing
recommend	select_as:recommendation&recommending, produce_as:recommendation&recommending
suggest	select_as:suggestion&suggesting, produce_as:suggestion&suggesting
advocate_for	support_as:preference&advocating, support_with:advocacy&advocating
back	support_as:recipient&backing, support_with:finance&backing
campaign_for	support_as:candidate&campaigning, support_with:campaign&campaigning
champion	support_as:ideal&championing
cheer_for	support_as:flag_carrier&cheering
finance	support_as:going_concern&financing, support_with:finance&financing
fund	support_as:going_concern&funding, support_with:fund&funding
intercede_for	support_with:intercession&interceding, support_as:ward&interceding
invest_in	support_as:going_concern&investing, support_with:investment&investing
pay_into	support_with:fund&paying, provide_to:payment*&paying
root_for	support_as:flag_carrier&rooting
sponsor	support_as:going_concern&sponsoring, support_with:sponsorship&sponsoring
support	support_with:contribution&supporting
take_on	support_as:burden&taking_on
facilitate	support_with:facility&facilitating, support_as:business&facilitating
discuss_with	communicate_to:opinion*&discussing, seek_with:agreement*&discussing
fire_at	propel_at:bullet*&firing
pick_on	damage_with:predation&picking_on
shoot_at	propel_at:bullet*&shooting
swing_at	propel_at:instrument*&swinging
take_aim_at	seek_as:target&taking_aim, seek_with:aim&taking_aim
target	select_as:target&targetting, seek_as:target&targetting
throw_at	propel_at:projectile*&throwing
aim	seek_with:target*&aiming
aim_with	identify_with:target*&aiming
target_with	identify_with:target*&targetting
analyze	evaluate_with:analysis&analyzing
assess	evaluate_with:assessment&assessing
authenticate	evaluate_with:authentication&authenicating
check	evaluate_with:checklist&checking
diagnose	evaluate_with:diagnosis&diagnosing, produce_of:diagnosis*&diagnosing, identify_as:cause&diagnosing
diagnose:symptom, diagnose:pain, diagnose:back_pain, diagnose:back_ache, diagnose:stomach_pain, diagnose:nausea, diagnose:back_ache	identify_of:cause*&diagnosing
diagnose:patient, diagnose:animal, diagnose:pet, diagnose:child, diagnose:kid	evaluate_with:diagnosis&diagnosing, produce_for:diagnosis*&diagnosing
doublecheck	evaluate_with:checklist&doublechecking
evaluate	evaluate_with:checklist&evaluating
examine	evaluate_with:question&examining
experiment_with	evaluate_with:experiment&experimenting
judge	evaluate_with:rulebook&judging
measure	evaluate_with:yardstick&measuring
rehearse	perform_for:rehearsal*&rehearsing
review	evaluate_with:review&reviewing
taste	evaluate_with:taste_bud&tasting
test	evaluate_with:test&testing
verify	evaluate_with:tets&verifying
grade	evaluate_with:grading_scheme&grading
review_for	evaluate_for:submission*&reviewing
analyze_with	evaluate_with:data_source*&analyzing
diagnose_with	evaluate_with:symptom*&diagnosing, seek_with:diagnosis*&diagnosing
examine_with	evaluate_with:test_subject*&examining
measure_with	evaluate_with:phenomenon*&measuring
test_on	evaluate_with:hypothesis*&testing
compare_to	evaluate_with:comparison&comparing
compare_with	evaluate_with:comparison&comparing
classify	select_for:classification*&classifying, identify_with:classification&classifying
consider	evaluate_as:possibility&considering, evaluate_with:consideration&considering
decide	evaluate_as:decision&deciding, produce_for:decision*&deciding
decide_on	evaluate_as:decision&deciding, produce_for:decision*
estimate	evaluate_with:calculation&estimating, produce_for:estimate*&estimating
interpret	evaluate_with:interpretation&interpreting, produce_of:interpretation*&interpreting
investigate	seek_in:truth*&investigating, evaluate_with:investigation&investigating
mark	produce_for:grade*&marking, identify_with:mark&marking, evaluate_with:marking_scheme&marking
miss	!perform_with:contact*&missing
negotiate	evaluate_with:negotiation&negotiating, seek_for:agreement*&negotiating
obsess_about	identify_as:obsession&obsessing, seek_about:truth*&obsessing
plan_for	produce_for:plan*&planning
plot	produce_of:plot*&plotting
prepare_for	perform_for:preparation*&preparing, produce_for:preparation&preparing
reason_about	evaluate_with:reason&reasoning, identify_of:reason*&reasoning, seek_in:truth*&reasoning
rule_on	produce_for:judgment*&ruling, evaluate_with:law&ruling
strategize_for	produce_for:strategy*&strategizing, seek_for:strategy*&strategizing
theorize_about	produce_of:theory*&theorizing, seek_for:theory*&theorizing, evaluate_with:theory&theorizing
think_about	evaluate_with:thought&thinking, seek_in:answer*&thinking
anticipate	produce_for:expectation*&anticipating, evaluate_with:anticipation&anticipating
decode	produce_for:code_key*&decoding, evaluate_with:code_key&decoding, seek_for:code_key*&decoding
ensure	produce_for:preparation*&ensuring
plan	produce_for:plan*&planning
act_on	<control_of:action*&influencing
classify_into	identify_as:subject*&classifying
classify_with	identify_with:subject*&classifying, evaluate_with:subject*&classifying
generalize_from	produce_of:generalization*&generalizing
reason_from	produce_of:conclusion*&generalizing
reason_with	evaluate_with:problem*&reasoning, seek_with:solution*&reasoning
remember_with	identify_with:memory*&remembering
bully	damage_with:persecution&bullying, oppose_with:persecution&bullying
charge_at	damage_with:charge&charging
intimidate	oppose_with:intimidation&intimidating, propel_at:threat*&intimidating
scare	damage_with:threat&scaring, oppose_with:scare_tactic&scaring
terrorize	imbue_with:terror&terrorizing, damage_with:terror&terrorizing
threaten	oppose_with:threat&threatening, propel_at:threat*&threatening
frighten	damage_with:scare&frightening, oppose_with:scare_tactic&frightening
frighten_with	damage_with:victim*&frightening, oppose_with:victim*&frightening
intimidate_with	damage_with:victim*&intimidating, oppose_with:victim*&intimidating
terrorize_with	damage_with:victim*&terrorizing, oppose_with:victim*&terrorizing
threaten_with	damage_with:victim*&threatening, oppose_with:victim*&threatening
bounce_back_from	<!stop_with:finality&impeding, propel_from:self*&bouncing_back
coach	provide_to:instruction*&coaching, enhance_with:instruction&coaching
discipline	control_with:discipline&disciplining, enhance_with:discipline&disciplining
train	provide_to:instruction*&training, enhance_with:instruction&training
train_for	perform_for:exercise*&training
exercise_in	perform_in:exercise*&exercising
exercise_on	perform_in:exercise*&exercising, perform_using:exercise*&exercising
train_in	perform_in:exercise*&training
exercise_with	perform_with:exercise*&training
train_using	perform_using:exercise*&training
train_with	perform_with:exercise*&training
work_out_with	perform_with:work_out*&working_out
cash_out	stop_with:sale&cashing_out, obtain_from:cash_value*&cashing_out
melt	control_with:heat&melting
smelt	control_with:heat&smelting
convert	produce_of:conversion*&converting, produce_from:convert*&converting, attract_as:convert&converting
melt_with	control_with:substance*&melting, perform_using:liquification*&melting
plow_with	control_with:field*&plowing, perform_using:fieldwork*&plowing
smelt_with	control_with:metal*&smelting, perform_using:melting*&smelting
appreciate	imbue_with:value&appreciating, evaluate_with:appreciation&appreciating, respect_as:valuable&appreciating
cherish	imbue_with:value&cherishing, protect_with:love&cherishing, respect_as:loved_one&cherishing
embrace	imbue_with:value&embracing, protect_with:embrace&embracing
espouse	communicate_about:belief*&espousing
treasure	imbue_with:value&treasuring, evaluate_with:appreciation&treasuring, respect_as:treasure&treasuring
value	imbue_with:value&valuing, evaluate_with:appreciation&valuing, respect_as:valuable&valuing
adhere_to	imbue_with:value&adhering,  <control_of:behaviour*&guiding
beat_with	damage_with:target*&beating
brandish	carry_as:weapon&brandishing
duel_with	oppose_with:rival*&duelling
fight_using	oppose_with:enemy*&fighting
shoot	oppose_with:enemy*&shooting, damage_with:enemy*&shooting
swing	carry_as:hitting_implement&swinging
use	perform_using:task*&using
wave	communicate_with:meaning*&waving
wield	carry_as:weapon&wielding
work_using	carry_as:tool&working
become	identify_as:self*&becoming
convert_to	identify_as:self*&converting
serve_as	identify_as:self*&serving
train_as	identify_as:self*&training
work_as	identify_as:self*&working
act_in	perform_in:act*&acting
operate_from	perform_in:work*&operating
operate_in	perform_in:work*&operating
serve_in	perform_in:service*&serving
serve_on	perform_on:service*&serving
star_in	perform_in:acting*&starring, <identify_as:star&casting
work_from	perform_in:work*&working
work_in	perform_in:work*&working
work_on	perform_on:work*&working
work_within	perform_in:work*&working
act_for	perform_for:action*&acting
answer_telephones_for	perform_for:telephone_duty*&answering
drill_for	seek_with:drill&drilling
drive_for	perform_for:chauffeuring*, propel_with:car&driving
fly_for	perform_for:flight*&flying, propel_with:aircraft&flying
navigate_for	perform_for:navigation*&navigating, control_of:direction*&navigating
negotiate_for	perform_for:negotiation*&negotiating, obtain_for:deal*&negotiating
represent	perform_for:representation*&representing, obtain_for:agreement*&representing
serve	perform_for:service*, <control_with:order
shill_for	produce_for:propaganda*&shilling, obtain_for:publicity*&shilling
sweat_for	perform_for:hard_labour*&sweating
work_for	perform_for:work*&working, <control_with:order&ordering
work_under	perform_for:work*&working, <control_with:order&ordering
experiment_in	perform_in:experiment*&experimenting
practice_in	perform_in:duty*&practicing
collaborate_with	perform_with:collaboration*&collaborating
compromise_with	perform_with:compromise*&compromising, identify_with:compromise*&compromising
star_with	perform_with:acting*&starring
work_with	perform_with:work*&working
study_with	perform_with:study*&studying
are_concerned_about	<imbue_with:worry&concerning
are_daunted_by	<imbue_with:apprehension&daunting
are_embarrassed_by	<imbue_with:embarrassment&embarrassing, <damage_with:embarrassment&embarrassing
are_moved_by	<imbue_with:sympathy&moving
cry_for	<imbue_with:sorrow&saddening, produce_for:tear*&crying
grow_suspicious_of	<imbue_with:suspicion&alarming, identify_as:suspect&suspecting
regret	<imbue_with:regret&saddening, <damage_with:consequence&saddening
repent	<imbue_with:remorse&moving, seek_for:forgiveness*&repenting, perform_for:penance*&repenting
whine_about	communicate_about:whine*&whining
worry_about	<imbue_with:worry&concerning
are_devoted_to	respect_with:devotion&venerating
